Date : 2021-03-24 17:24:47
Directory : c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client
Total : 110 files,  6129 codes, 173 comments, 843 blanks, all 7145 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poet\index.config.ts            | TypeScript       |          3 |          0 |          1 |          4 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poet\index.less                 | Less             |         67 |          0 |         16 |         83 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poet\index.tsx                  | TypeScript React |         95 |          2 |         14 |        111 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\RecordList\index.config.ts      | TypeScript       |          3 |          0 |          0 |          3 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\RecordList\index.less           | Less             |         30 |          0 |          6 |         36 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\RecordList\index.tsx            | TypeScript React |         70 |          0 |         11 |         81 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Record\index.config.ts          | TypeScript       |          3 |          0 |          1 |          4 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Record\index.less               | Less             |        100 |          0 |         16 |        116 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Record\index.tsx                | TypeScript React |        159 |          0 |         24 |        183 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Record\store\actionCreators.ts  | TypeScript       |          7 |          0 |          2 |          9 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Record\store\constants.ts       | TypeScript       |          1 |          0 |          0 |          1 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Record\store\index.ts           | TypeScript       |          4 |          0 |          1 |          5 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Record\store\reducer.ts         | TypeScript       |         13 |          0 |          3 |         16 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Round\index.config.ts           | TypeScript       |          3 |          0 |          0 |          3 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Round\index.less                | Less             |         47 |          0 |          6 |         53 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Round\index.tsx                 | TypeScript React |         90 |          1 |         12 |        103 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Search\index.config.ts          | TypeScript       |          3 |          0 |          1 |          4 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Search\index.less               | Less             |         94 |          6 |         24 |        124 |
| c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Search\index.tsx                | TypeScript React |        221 |         10 |         28 |        259 |
