"filename", "language", "TypeScript", "JSON", "TypeScript React", "Less", "HTML", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Player\store\reducer.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\PoemList\index.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\PoemList\index.less", "Less", 0, 0, 0, 56, 0, 0, 0, 0, 13, 69
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\PoemList\index.tsx", "TypeScript React", 0, 0, 96, 0, 0, 0, 0, 0, 16, 112
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poem\index.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poem\index.less", "Less", 0, 0, 0, 87, 0, 0, 0, 5, 19, 111
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poem\index.tsx", "TypeScript React", 0, 0, 245, 0, 0, 0, 0, 7, 31, 283
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poem\store\actionCreators.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poem\store\constants.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poem\store\index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poem\store\reducer.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poet\index.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poet\index.less", "Less", 0, 0, 0, 67, 0, 0, 0, 0, 16, 83
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Poet\index.tsx", "TypeScript React", 0, 0, 85, 0, 0, 0, 0, 2, 14, 101
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\RecordList\index.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\RecordList\index.less", "Less", 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\RecordList\index.tsx", "TypeScript React", 0, 0, 70, 0, 0, 0, 0, 0, 11, 81
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Record\index.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Record\index.less", "Less", 0, 0, 0, 98, 0, 0, 0, 0, 16, 114
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Record\index.tsx", "TypeScript React", 0, 0, 159, 0, 0, 0, 0, 0, 24, 183
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Record\store\actionCreators.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Record\store\constants.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Record\store\index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Record\store\reducer.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Round\index.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Round\index.less", "Less", 0, 0, 0, 47, 0, 0, 0, 0, 6, 53
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Round\index.tsx", "TypeScript React", 0, 0, 83, 0, 0, 0, 0, 1, 12, 96
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Search\index.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Search\index.less", "Less", 0, 0, 0, 94, 0, 0, 0, 6, 24, 124
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Search\index.tsx", "TypeScript React", 0, 0, 217, 0, 0, 0, 0, 10, 28, 255
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Search\store\actionCreators.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Search\store\constants.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client\src\pages\Search\store\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
